host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
100%,,1,3,Entire home/apt,0.0,1.0,1.0,$125.00,$25.00,,1,1125,0,38.961353335397405,-77.07213742988813,Washington,20015,DC
90%,100%,2,2,Entire home/apt,1.0,1.0,1.0,$125.00,$100.00,,3,90,2,38.97723478128514,-77.05834739031512,Washington,20015,DC
100%,90%,4,1,Private room,1.0,1.0,1.0,$55.00,$15.00,$100.00,1,1125,7,38.96615266305036,-77.06341370255409,Washington,20015,DC
,,1,2,Private room,1.0,1.0,1.0,$200.00,,,1,1125,0,38.967215431364714,-77.05390172125037,Washington,20015,DC
100%,100%,1,6,Entire home/apt,1.0,1.0,3.0,$160.00,,,1,1125,38,38.96241247422603,-77.07625821990841,"Washington, D.C.",20015,DC
90%,100%,2,6,Entire home/apt,1.0,1.5,2.0,$135.00,$110.00,$195.00,1,180,24,38.96138374381163,-77.07658157429027,Washington,20015,DC
,,1,5,Entire home/apt,2.0,1.0,2.0,$145.00,,$200.00,3,7,4,38.959507210647025,-77.0721410018645,Washington,20015,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$59.00,$60.00,$250.00,7,1125,5,38.958791354962884,-77.06812768381415,Washington,20015,DC
71%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$130.00,$60.00,,1,1125,2,38.963289373528106,-77.07428787767044,Washington,20015,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$135.00,$20.00,,2,1125,19,38.95995187887815,-77.07439197814334,Washington,20015,DC
100%,90%,4,2,Private room,1.0,1.0,1.0,$78.00,$25.00,$100.00,1,1125,2,38.96497204478565,-77.06398583020531,Washington,20015,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$90.00,,,2,14,0,38.962153876403214,-77.06080182254426,Washington,20015,DC
100%,90%,4,2,Private room,1.0,1.0,1.0,$58.00,$10.00,$100.00,2,1125,16,38.96597616337665,-77.06517673817726,Washington,20015,DC
90%,70%,2,1,Private room,1.0,1.5,1.0,$76.00,$25.00,,1,1125,2,38.86258783219257,-76.98754096184132,Washington,20020,DC
100%,100%,4,1,Private room,1.0,1.0,1.0,$42.00,,,3,1125,28,38.86287553319058,-76.99045181656452,Washington,20020,DC
,,1,7,Entire home/apt,2.0,3.0,2.0,$333.00,,,4,7,0,38.86617529794962,-76.98869602910945,Washington,20020,DC
82%,94%,2,2,Private room,1.0,1.5,1.0,$55.00,,,1,365,25,38.861510320714046,-76.98768692636499,Washington,20020,DC
100%,67%,2,1,Private room,1.0,1.0,1.0,$50.00,$75.00,$200.00,7,1125,2,38.86464997446808,-76.97790016981692,Washington,20020,DC
99%,99%,8,2,Private room,1.0,0.5,1.0,$58.00,$19.00,,1,1125,25,38.86412881399765,-76.98235377324126,Washington,20020,DC
100%,100%,4,2,Private room,1.0,1.0,1.0,$51.00,,$95.00,3,1125,35,38.862938411692674,-76.99016089481577,Washington,20020,DC
100%,,1,2,Private room,1.0,1.0,1.0,$68.00,,,1,1125,2,38.86161450646356,-76.98914690553704,Washington,20020,DC
99%,99%,8,9,Entire home/apt,3.0,1.0,4.0,$199.00,$58.00,,2,1125,5,38.86497748122142,-76.98081653753546,Washington,20020,DC
90%,67%,2,3,Private room,1.0,1.0,1.0,$75.00,,,2,90,25,38.861925194900415,-76.98963434965465,Washington,20020,DC
99%,99%,8,4,Private room,1.0,1.0,2.0,$76.00,$23.00,,1,1125,26,38.865490520601035,-76.98219485275149,Washington,20020,DC
99%,99%,8,4,Private room,1.0,1.0,2.0,$71.00,$17.00,,1,1125,46,38.86371448870057,-76.9824807576178,Washington,20020,DC
80%,100%,2,3,Private room,1.0,1.0,2.0,$90.00,$40.00,,3,90,7,38.8612709873276,-76.98691090803231,Washington,20020,DC
90%,100%,2,1,Private room,1.0,1.0,1.0,$60.00,$20.00,,2,1125,0,38.86425405784235,-76.99143136588114,Washington,20020,DC
100%,100%,1,2,Private room,1.0,1.5,1.0,$75.00,,,2,90,19,38.864167838882985,-76.98855266816507,Washington,20020,DC
90%,70%,2,1,Private room,1.0,1.5,1.0,$76.00,$25.00,,3,1125,1,38.86279838302383,-76.98706814314934,Washington,20020,DC
86%,88%,8,1,Private room,1.0,1.0,1.0,$49.00,,,1,1125,0,38.866116943950146,-76.98275940538198,Washington,20020,DC
99%,99%,8,2,Private room,1.0,1.0,1.0,$59.00,$14.00,,1,1125,19,38.864281899338,-76.98207016637944,Washington,20020,DC
92%,92%,2,1,Private room,1.0,2.0,1.0,$50.00,,,1,1125,24,38.86411035356596,-76.98922088206541,Washington,20020,DC
99%,99%,8,2,Private room,1.0,1.0,1.0,$53.00,$19.00,,1,1125,8,38.864972663768675,-76.98066000669692,Washington,20020,DC
94%,93%,1,2,Private room,1.0,2.0,1.0,$70.00,,,2,90,49,38.861241802446244,-76.98864804164735,Washington,20020,DC
99%,99%,8,1,Private room,1.0,1.0,1.0,$41.00,$13.00,,1,1125,12,38.86538407271525,-76.98209990918939,Washington,20020,DC
80%,100%,2,2,Private room,1.0,1.0,1.0,$65.00,$35.00,,3,21,10,38.861245275912545,-76.98876796531901,Washington,20020,DC
100%,100%,4,1,Private room,1.0,1.0,1.0,$45.00,,$95.00,3,360,24,38.860854901349285,-76.98814481523496,Washington,20020,DC
99%,99%,8,2,Private room,1.0,1.0,1.0,$56.00,$19.00,,1,1125,31,38.86365572084585,-76.98252829997796,Washington,20020,DC
90%,67%,2,2,Private room,1.0,1.0,2.0,$65.00,,,1,365,60,38.861768234098186,-76.98965947175705,Washington,20020,DC
92%,92%,2,2,Private room,1.0,2.0,1.0,$65.00,,,1,1125,57,38.863230247947634,-76.9892157522806,Washington,20020,DC
,,1,2,Private room,1.0,1.0,1.0,$28.00,$50.00,,3,1125,1,38.864222253207785,-76.96571296341624,Washington,20020,DC
,,1,4,Entire home/apt,2.0,1.0,2.0,"$1,000.00",,"$1,000.00",2,6,0,38.86279366628196,-76.95022342320493,Washington,20020,DC
100%,88%,1,6,Entire home/apt,3.0,1.0,3.0,$129.00,$55.00,,2,1125,7,38.86427431966545,-76.94926586727766,Washington,20020,DC
100%,100%,1,1,Private room,1.0,1.0,1.0,$49.00,,,1,1125,7,38.86231999555457,-76.96173429874946,Washington,20020,DC
100%,,1,2,Private room,1.0,1.0,1.0,$100.00,,,1,1125,0,38.86279751349715,-76.95330247510405,Washington,20020,DC
100%,,1,6,Entire home/apt,2.0,1.5,2.0,$76.00,$65.00,$95.00,5,180,31,38.86255390357103,-76.9496141616696,Washington,20020,DC
,,1,1,Shared room,1.0,1.5,1.0,$50.00,$5.00,,1,3,0,38.86487718829206,-76.96198349084766,Washington,20020,DC
88%,67%,1,6,Entire home/apt,2.0,2.0,2.0,$175.00,,,1,30,16,38.860210239683035,-76.99207103521604,Washington,20020,DC
100%,100%,2,3,Private room,1.0,2.0,2.0,$80.00,$50.00,$350.00,5,365,1,38.856190046640656,-76.98689352980777,Washington,20020,DC
91%,100%,1,6,Entire home/apt,2.0,1.5,4.0,$117.00,$30.00,,1,1125,1,38.861034298194255,-76.99183311864327,Washington,20020,DC
100%,100%,4,1,Private room,1.0,1.0,1.0,$40.00,,,3,1125,0,38.8609472291811,-76.9898448097271,Washington,20020,DC
90%,100%,2,4,Entire home/apt,2.0,2.0,2.0,$52.00,$20.00,,2,1125,28,38.86334761018645,-76.9929416132778,Washington,20020,DC
100%,,1,2,Private room,1.0,1.0,1.0,$75.00,$5.00,,1,1125,1,38.86014630395668,-76.98934707355261,Washington,20020,DC
100%,100%,2,3,Private room,1.0,1.0,1.0,$100.00,$50.00,$300.00,5,365,3,38.858696953714144,-76.98735768162413,Washington,20020,DC
82%,94%,2,3,Private room,1.0,1.0,2.0,$59.00,,,1,365,10,38.860474940662655,-76.98917608039523,Washington,20020,DC
86%,88%,8,6,Entire home/apt,3.0,1.0,4.0,$209.00,$75.00,$150.00,1,15,1,38.867371315867054,-76.98328645297724,Washington,20020,DC
86%,88%,8,2,Private room,1.0,1.0,1.0,$69.00,$25.00,$95.00,1,30,0,38.86709861437839,-76.98283284503468,Washington,20020,DC
92%,100%,6,2,Private room,1.0,2.0,1.0,$60.00,$15.00,,1,1125,48,38.87117910826901,-76.96895602802775,Washington,20020,DC
92%,100%,6,2,Private room,1.0,2.0,1.0,$54.00,$15.00,,2,1125,50,38.87127849061974,-76.9678096969219,Washington,20020,DC
96%,88%,3,1,Shared room,1.0,1.0,1.0,$20.00,,,2,14,1,38.87597988248185,-76.96206009691049,Washington,20019,DC
92%,100%,6,2,Private room,1.0,1.0,1.0,$50.00,$15.00,,1,1125,58,38.87090449706355,-76.96764647938427,Washington,20020,DC
86%,88%,8,8,Entire home/apt,3.0,1.0,5.0,$214.00,$75.00,$150.00,1,213,1,38.867160861055424,-76.98327782692655,Washington,20020,DC
90%,75%,2,2,Private room,1.0,1.0,1.0,$69.00,$42.00,,1,1125,23,38.872051692858,-76.97594646228956,Washington,20020,DC
,,1,2,Private room,1.0,1.0,1.0,$399.00,,,2,2,0,38.874135471805346,-76.97587859332856,Washington,20020,DC
91%,93%,1,2,Private room,1.0,1.5,1.0,$70.00,,,1,1125,22,38.869659495750206,-76.98652129498821,"Washington, D.C.",20020,DC
92%,100%,6,2,Private room,1.0,2.0,1.0,$60.00,$15.00,,1,1125,36,38.86967493219516,-76.96784868813991,Washington,20020,DC
85%,100%,1,2,Private room,1.0,2.0,1.0,$50.00,$15.00,,1,1125,0,38.874261785959774,-76.96235387453581,Washington,20019,DC
92%,100%,6,2,Private room,1.0,2.0,1.0,$54.00,$15.00,,1,1125,61,38.86934328283709,-76.96769454925764,Washington,20020,DC
50%,100%,1,4,Private room,1.0,1.0,1.0,$85.00,$50.00,$250.00,2,7,1,38.873875360762504,-76.97118008659909,Washington,20020,DC
100%,,1,2,Entire home/apt,0.0,1.0,1.0,$65.00,$10.00,,5,1125,7,38.874958065999024,-76.97171387813314,Washington,20020,DC
100%,90%,1,4,Entire home/apt,1.0,1.0,3.0,$75.00,$25.00,,1,1125,14,38.86945170680567,-76.96637748536013,Washington,20020,DC
86%,88%,8,1,Private room,1.0,1.0,1.0,$45.00,$25.00,$95.00,1,1125,0,38.86638415773657,-76.98287594745136,Washington,20020,DC
,,1,4,Entire home/apt,1.0,,,$275.00,,,1,1125,0,38.89712353790072,-76.9743195230947,Washington,20002,DC
92%,100%,6,2,Private room,1.0,1.0,1.0,$55.00,$15.00,,2,1125,67,38.868798860926354,-76.96947338618192,Washington,20020,DC
100%,100%,1,7,Entire home/apt,3.0,3.0,3.0,$215.00,$100.00,$500.00,3,1125,0,38.871869243134114,-76.96036371931798,Washington,20020,DC
80%,100%,1,6,Entire home/apt,2.0,1.0,3.0,$80.00,$30.00,,3,90,125,38.866936140673474,-76.97671107531869,Washington,20020,DC
100%,67%,2,1,Private room,1.0,1.0,1.0,$50.00,$75.00,$200.00,14,1125,0,38.86602599355717,-76.97662597136207,Washington,20020,DC
86%,88%,8,2,Private room,1.0,1.0,1.0,$89.00,$25.00,$95.00,1,30,0,38.86679173548839,-76.98455064834097,Washington,20020,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$105.00,$5.00,$250.00,1,1125,7,38.87355006234707,-76.97175043156874,Washington,20020,DC
90%,75%,2,4,Private room,1.0,1.0,2.0,$105.00,$42.00,,1,1125,31,38.87459172078268,-76.97434442580206,Washington,20020,DC
96%,88%,3,1,Shared room,1.0,2.0,1.0,$20.00,,,1,14,13,38.87622029636893,-76.96375086598009,"Washington, D.C.",20019,DC
86%,88%,8,2,Private room,1.0,1.0,1.0,$79.00,$75.00,$100.00,1,1125,0,38.867759000029466,-76.98257326187185,Washington,20020,DC
86%,88%,8,2,Private room,1.0,1.0,2.0,$59.00,$25.00,$100.00,1,1125,0,38.86784482017588,-76.98314923327528,Washington,20020,DC
100%,100%,1,6,Entire home/apt,3.0,2.0,4.0,$190.00,$150.00,$200.00,2,1125,2,38.86816274836306,-76.98593787357733,Washington,20020,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,1.0,$98.00,$30.00,$300.00,2,1125,1,38.89671854599838,-76.9903802905185,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$145.00,,$125.00,5,1125,96,38.89321841771656,-76.99641563246652,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.5,1.0,$53.00,$19.00,$95.00,2,7,35,38.89752494470175,-76.97239542605296,Washington,20002,DC
100%,100%,3,6,Entire home/apt,3.0,2.5,3.0,$275.00,$100.00,$500.00,4,21,5,38.89532983674443,-76.9879726318473,Washington,20002,DC
100%,97%,1,2,Entire home/apt,1.0,1.0,1.0,$120.00,,,1,120,9,38.90619055870127,-77.00509888675258,Washington,20002,DC
,,1,2,Private room,1.0,1.0,1.0,$90.00,,,1,1125,0,38.895626904717155,-76.99363431754536,Washington,20002,DC
100%,94%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,$15.00,,1,1125,10,38.90365213924543,-77.00228188717672,Washington,20002,DC
96%,79%,2,1,Private room,1.0,1.0,1.0,$90.00,,$95.00,1,2,22,38.89532139167209,-76.99736846323017,Washington,20002,DC
100%,80%,2,4,Entire home/apt,1.0,1.0,2.0,$100.00,,,1,1125,2,38.89606511028548,-76.98268567270783,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,$15.00,$100.00,1,1125,121,38.894087021535256,-76.98564336843367,Washington,20002,DC
50%,,1,4,Entire home/apt,1.0,1.0,3.0,$110.00,,$100.00,2,14,7,38.90010693710249,-76.9998354162908,Washington,20002,DC
100%,64%,1,2,Entire home/apt,1.0,1.0,1.0,$125.00,,$275.00,2,14,22,38.892024435621636,-77.0012232211309,Washington,20002,DC
100%,100%,1,6,Entire home/apt,2.0,1.0,2.0,$180.00,$100.00,"$2,000.00",3,1125,0,38.89573480596939,-76.98884734411742,Washington,20002,DC
59%,85%,1,1,Entire home/apt,0.0,1.0,1.0,$83.00,,,1,1125,1,38.89402413956943,-77.00285578436629,Washington,20002,DC
100%,86%,1,3,Entire home/apt,1.0,1.0,2.0,$137.00,$40.00,,3,1125,2,38.89921318923394,-77.00038400113856,Washington,20002,DC
100%,100%,1,1,Private room,1.0,1.0,1.0,$100.00,$45.00,,2,60,21,38.89244428489381,-76.99370842492962,Washington,20002,DC
100%,67%,1,4,Entire home/apt,1.0,1.0,2.0,$135.00,,,1,1125,23,38.89431800855362,-76.97873680602767,Washington,20002-6645,DC
100%,100%,2,8,Entire home/apt,3.0,2.5,5.0,$398.00,$258.00,$500.00,3,1125,1,38.89617424938743,-77.00270266539138,Washington,20002,DC
100%,96%,5,4,Entire home/apt,1.0,1.0,2.0,$150.00,$75.00,$500.00,3,1125,12,38.895609247049435,-76.98935133332266,Washington,20002,DC
100%,100%,2,2,Entire home/apt,0.0,1.0,1.0,$100.00,$50.00,$100.00,3,1125,2,38.89895203993289,-76.98723512579326,Washington,20002,DC
100%,,1,4,Entire home/apt,2.0,1.0,2.0,$100.00,,,7,1125,0,38.8981543748286,-76.98182416441814,Washington,20002,DC
100%,86%,1,6,Entire home/apt,3.0,2.5,3.0,$325.00,$150.00,$200.00,2,1125,21,38.89795127570671,-77.00108850780398,Washington,20002,DC
90%,90%,2,2,Private room,1.0,1.5,1.0,$90.00,,,1,1125,0,38.895686168696884,-76.99978938689209,Washington,20002,DC
90%,100%,1,6,Entire home/apt,3.0,1.5,5.0,$270.00,,$250.00,2,1125,13,38.90192612523321,-77.00023386681727,Washington,20002,DC
90%,67%,1,6,Entire home/apt,2.0,1.5,2.0,$70.00,$45.00,,1,1125,7,38.90114588222367,-77.00300725982841,Washington,20002,DC
100%,100%,3,6,Entire home/apt,3.0,2.5,3.0,$350.00,,,3,1125,0,38.89867819781025,-76.99890680744949,Washington,20002,DC
100%,90%,1,7,Entire home/apt,3.0,1.5,5.0,$195.00,$90.00,$350.00,2,28,1,38.8992607290072,-76.99193311023959,Washington,20002,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$105.00,$50.00,,2,1125,35,38.90035638560501,-77.00088157564062,Washington,20002,DC
85%,94%,2,2,Private room,1.0,2.0,1.0,$99.00,$25.00,,2,300,47,38.89760061935417,-76.99692173381969,Washington,20002,DC
100%,100%,2,4,Entire home/apt,1.0,1.0,2.0,$93.00,$50.00,,1,7,1,38.89647103368513,-76.98297037462251,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$130.00,$35.00,,1,1125,2,38.905012246328795,-77.00578784562892,Washington,20002,DC
100%,100%,2,4,Entire home/apt,1.0,1.0,2.0,$135.00,$20.00,$150.00,1,1125,13,38.89208365691551,-76.99890940707157,Washington,20002,DC
100%,95%,2,4,Entire home/apt,1.0,1.0,2.0,$130.00,,,2,1125,0,38.90166730861271,-76.99022711659738,Washington,20002,DC
100%,98%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,,,1,1125,34,38.89700819061788,-76.98822321919894,Washington,20002,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$135.00,$25.00,$200.00,2,100,65,38.90537134562325,-77.00034032891217,Washington,20002,DC
99%,89%,25,6,Entire home/apt,1.0,1.0,2.0,$149.00,$90.00,$300.00,3,30,12,38.89798947601373,-77.00180654304495,Washington,20002,DC
100%,100%,2,6,Entire home/apt,2.0,2.5,3.0,$190.00,$150.00,$200.00,3,1125,4,38.901330071897675,-76.98956129497051,Washington,20002,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$130.00,$45.00,,2,1125,90,38.89326775221981,-76.99019141621905,"Washington, D.C.",20002,DC
100%,100%,2,4,Entire home/apt,1.0,1.0,2.0,$107.00,$60.00,$120.00,3,1125,3,38.897250804957686,-76.97533672408686,Washington,20002,DC
60%,100%,1,3,Entire home/apt,2.0,1.0,2.0,$100.00,,,1,30,10,38.89780034669561,-77.00033067729096,Washington,20002,DC
99%,89%,25,6,Entire home/apt,2.0,1.0,2.0,$159.00,$115.00,$300.00,3,1125,2,38.892198424141114,-77.00034088962289,Washington,20002,DC
100%,98%,3,5,Entire home/apt,2.0,1.0,3.0,$179.00,$50.00,$200.00,3,1125,195,38.89436586350321,-76.9828735235358,Washington,20002,DC
100%,100%,2,5,Entire home/apt,0.0,1.0,3.0,$138.00,$158.00,$200.00,3,1125,2,38.89629800023993,-77.00196374744617,Washington,20002,DC
89%,92%,1,5,Entire home/apt,2.0,1.5,2.0,$140.00,$50.00,"$1,000.00",2,1125,1,38.89887908886408,-76.98855470270787,Washington,20002,DC
100%,100%,1,4,Entire home/apt,2.0,1.0,2.0,$150.00,$40.00,$200.00,1,1,7,38.893033863560156,-76.99162553660017,Washington,20002,DC
84%,82%,2,4,Entire home/apt,2.0,2.0,2.0,$150.00,$60.00,$300.00,1,1125,20,38.89558968660424,-76.99349216939702,Washington,20002,DC
,,1,2,Private room,1.0,1.0,1.0,$70.00,,,1,1125,0,38.89434589259464,-76.98663874690848,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,3.0,$150.00,$70.00,,3,365,76,38.89314386605119,-77.00102106553484,Washington,20003,DC
100%,100%,2,4,Private room,1.0,1.0,2.0,$120.00,$120.00,$100.00,2,1125,8,38.90114176072071,-77.00860166856044,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$125.00,$60.00,$200.00,2,1125,23,38.89959170717285,-77.00006403663157,Washington,20002,DC
90%,88%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,$25.00,,1,1125,7,38.89767509033455,-76.99032706538755,Washington,20002,DC
,,1,6,Entire home/apt,1.0,2.5,2.0,$230.00,$80.00,"$1,000.00",3,9,0,38.893861641905595,-76.98646566772258,Washington,20002,DC
96%,79%,2,2,Entire home/apt,1.0,1.0,2.0,$94.00,$25.00,$150.00,2,3,5,38.895246956651256,-76.99588964887586,Washington,20002,DC
100%,100%,3,2,Entire home/apt,1.0,1.0,1.0,$110.00,,,2,30,227,38.89532287986631,-76.98873497481614,Washington,20002,DC
100%,100%,2,2,Private room,1.0,1.0,1.0,$85.00,$30.00,,3,100,18,38.8988362098755,-76.9911781921293,Washington,20002,DC
100%,95%,2,1,Shared room,1.0,1.0,1.0,$47.00,,,1,1125,14,38.899090608021176,-77.00253156902696,Washington,20002,DC
99%,96%,32,10,Entire home/apt,4.0,4.0,5.0,$399.00,$230.00,$500.00,4,365,0,38.893770192568546,-76.9893021756572,Washington,20002,DC
100%,100%,4,8,Entire home/apt,3.0,1.5,4.0,$290.00,$200.00,$400.00,4,365,0,38.896987257462335,-76.99969911343463,Washington,20002,DC
90%,75%,2,2,Private room,1.0,2.0,1.0,$90.00,$75.00,,1,1125,10,38.8947436314313,-76.99245241634775,Washington,20002,DC
100%,95%,2,6,Entire home/apt,2.0,2.0,2.0,$154.00,$30.00,,2,1125,3,38.899129110269186,-77.00126106257274,Washington,20002,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$134.00,$25.00,$200.00,2,1125,51,38.904946833639045,-77.00130747685957,Washington,20002,DC
100%,100%,5,2,Private room,1.0,1.0,1.0,$85.00,$50.00,,1,365,180,38.897719610270634,-76.99410964785406,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$129.00,$75.00,$250.00,3,29,1,38.89602824102149,-77.00248844567147,Washington,20002,DC
100%,98%,3,5,Entire home/apt,3.0,2.5,3.0,$250.00,$70.00,$200.00,3,365,17,38.894192118517395,-76.98340014955218,Washington,20002,DC
99%,96%,32,4,Entire home/apt,1.0,1.0,2.0,$179.00,$65.00,$200.00,3,180,25,38.89705371281343,-77.0014600863848,Washington,20002,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$115.00,$50.00,$100.00,1,1125,2,38.897701950713156,-76.99538919036092,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$89.00,$25.00,,2,20,9,38.8983312206091,-76.9900411745494,Washington,20002,DC
86%,50%,1,2,Private room,1.0,1.0,1.0,$95.00,,,1,1125,0,38.895007206612185,-76.98048778012186,Washington,20002,DC
100%,98%,1,2,Entire home/apt,1.0,1.0,1.0,$89.00,,,1,60,310,38.895402761641975,-76.98693749399105,Washington,20002,DC
100%,95%,5,6,Entire home/apt,3.0,2.5,4.0,$679.00,$100.00,$500.00,3,1125,2,38.898319018203814,-76.98793117936974,Washington,20002,DC
100%,96%,5,2,Entire home/apt,1.0,1.0,1.0,$150.00,$75.00,$500.00,3,1125,0,38.89677931414989,-76.99821811709032,Washington,20002,DC
,,1,3,Entire home/apt,1.0,1.0,1.0,$220.00,$25.00,$300.00,1,10,3,38.89578101057036,-76.98863622383357,Washington,20002,DC
100%,87%,4,2,Private room,1.0,1.0,1.0,$62.00,$10.00,,1,1125,4,38.90219860053029,-76.99024118551479,Washington,20002,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$129.00,$20.00,,2,21,41,38.9055131888969,-77.00171434817734,Washington,20002,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$120.00,$30.00,,2,1125,10,38.90589412787292,-77.00542830840585,Washington,20002,DC
100%,100%,1,6,Entire home/apt,2.0,1.5,3.0,$125.00,$90.00,$500.00,2,1125,0,38.897213862629506,-76.97595260414471,Washington,20002,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$125.00,$20.00,$125.00,2,29,85,38.89552705577737,-76.99273583082467,Washington,20002,DC
84%,82%,2,4,Private room,1.0,1.0,1.0,$120.00,$40.00,,2,1125,2,38.89556227981673,-76.99341957457833,Washington,20002,DC
92%,90%,1,2,Private room,1.0,1.0,1.0,$55.00,$20.00,,1,5,2,38.90284509152313,-76.99887832028281,Washington,20002,DC
100%,88%,6,2,Private room,1.0,1.5,1.0,$59.00,,$150.00,6,1125,1,38.8978171998204,-76.98668319092101,Washington,20002,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$95.00,,,2,1125,13,38.89767896213888,-76.9947181540892,Washington,20002,DC
100%,88%,6,2,Private room,1.0,1.5,1.0,$79.00,,$150.00,6,1125,10,38.897847936975175,-76.98545207979103,Washington,20002,DC
100%,97%,2,2,Private room,1.0,1.0,1.0,$85.00,$25.00,,1,1125,29,38.89758176715864,-76.98739073322818,Washington,20002,DC
100%,67%,1,8,Entire home/apt,3.0,2.5,8.0,$285.00,$125.00,$500.00,2,5,9,38.89330113264303,-76.99187303007119,Washington,20002,DC
100%,50%,1,2,Private room,1.0,1.0,1.0,$70.00,,,1,1125,0,38.8978461525977,-76.99534738843904,Washington,20002,DC
90%,100%,5,4,Entire home/apt,1.0,1.0,1.0,$100.00,$30.00,,1,1125,11,38.90535752436391,-77.00832839926078,Washington,20002,DC
100%,90%,2,2,Private room,1.0,1.5,1.0,$72.00,,$250.00,2,1125,1,38.89730790493886,-76.98509980723895,Washington,20002,DC
95%,90%,2,4,Private room,1.0,1.0,2.0,$89.00,,,1,60,21,38.90184706267977,-77.00314744245506,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$75.00,,,2,1125,1,38.897603452558464,-77.00208242215507,Washington,20002,DC
70%,100%,5,11,Entire home/apt,5.0,4.5,5.0,"$2,822.00",,"$1,000.00",2,1125,0,38.898457055201156,-76.98609252598902,Washington,20002,DC
100%,100%,1,2,Private room,1.0,2.5,1.0,$85.00,,$150.00,2,1125,76,38.901628332652685,-76.98882570285994,Washington,20002,DC
100%,89%,2,2,Private room,1.0,1.0,1.0,$189.00,$100.00,,1,1125,4,38.89799892950743,-76.97459485156715,Washington,20002,DC
81%,97%,4,2,Private room,1.0,1.5,1.0,$69.00,,,3,14,28,38.906354363229745,-77.00219461537739,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$118.00,,,12,1125,10,38.897322615540986,-77.00028731014652,Washington,20002,DC
100%,100%,3,2,Private room,1.0,1.0,1.0,$75.00,,,2,30,318,38.89661032482481,-76.9870275486241,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$79.00,,,1,1125,74,38.896847328867544,-76.98625066940816,Washington,20002,DC
100%,90%,2,2,Private room,1.0,1.5,1.0,$77.00,,$250.00,3,95,8,38.897196527422985,-76.98695630387742,Washington,20002,DC
100%,71%,1,2,Private room,1.0,1.0,1.0,$84.00,$10.00,,2,1125,28,38.90678106811571,-77.00466764128696,Washington,20002,DC
100%,100%,5,2,Private room,1.0,1.0,1.0,$95.00,$50.00,,1,93,61,38.89781633967673,-76.99456413764759,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$80.00,,,6,30,0,38.89948355317532,-77.00257321428172,Washington,20002,DC
60%,75%,1,4,Entire home/apt,2.0,1.0,2.0,$195.00,,,1,1125,5,38.897109789346736,-77.00148818234842,Washington,20002,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$110.00,$25.00,,1,1125,1,38.894885716631656,-77.00118127538069,Washington,20002,DC
90%,75%,2,5,Entire home/apt,3.0,2.0,3.0,$225.00,$200.00,$600.00,5,1125,4,38.895191014998275,-76.99252064728594,Washington,20002,DC
,,1,4,Entire home/apt,,1.0,2.0,$325.00,$65.00,,4,7,0,38.89260315030676,-77.0004889318667,Washington,20002,DC
100%,83%,1,6,Entire home/apt,3.0,1.5,3.0,$250.00,$25.00,,1,1125,2,38.89816227132554,-76.99979797207989,"Washington, D.C.",20002,DC
85%,94%,2,3,Entire home/apt,1.0,1.0,2.0,$95.00,$35.00,,2,700,14,38.89681839290922,-76.99547501017541,Washington,20002,DC
